SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
NML,106.07,107.20,107.60,106.35,106.53,0.43,0.41%,"367,000"
MODAM,6.00,7.00,7.00,6.84,7.00,1.00,16.67%,"366,000"
GLAXO,183.57,184.00,188.40,183.00,186.75,3.18,1.73%,"352,100"
MDTL,1.69,1.79,1.79,1.55,1.59,-0.10,-5.92%,"306,000"
MFL,25.18,24.98,25.45,24.60,25.20,0.02,0.08%,"296,000"
WTL,1.27,1.29,1.29,1.25,1.27,0.00,0.00%,"275,000"
OGDC,112.35,112.45,112.45,111.00,111.90,-0.45,-0.40%,"269,759"
TRPOL,10.09,10.11,10.17,10.00,10.02,-0.07,-0.69%,"267,500"
ECOP,19.92,20.25,20.50,19.80,20.10,0.18,0.90%,"265,000"
UBL,128.93,129.95,129.95,127.40,127.80,-1.13,-0.88%,"237,775"
HUMNL,8.45,8.47,8.58,8.42,8.50,0.05,0.59%,"237,000"
AGL,5.46,5.47,5.58,5.40,5.47,0.01,0.18%,"228,500"
PSMC,230.05,228.05,235.85,226.50,232.00,1.95,0.85%,"223,300"
EFERTXD,60.85,60.69,60.90,60.57,60.70,-0.15,-0.25%,"219,663"
NCPL,14.89,14.71,15.00,14.62,14.91,0.02,0.13%,"208,500"
NRSL,10.40,10.30,10.40,10.20,10.22,-0.18,-1.73%,"186,500"
PACE,3.81,3.75,3.77,3.68,3.75,-0.06,-1.57%,"184,500"
RPL,39.44,38.51,39.01,38.02,38.40,-1.04,-2.64%,"181,500"
QUICE,5.82,5.82,5.90,5.80,5.88,0.06,1.03%,"176,000"
HTL,45.52,45.45,46.45,45.45,45.81,0.29,0.64%,"169,500"
SINDM,11.75,12.10,12.50,11.90,11.90,0.15,1.28%,"165,000"
DOL,47.67,47.75,47.95,46.87,47.20,-0.47,-0.99%,"164,000"
GATM,39.01,39.50,39.60,39.00,39.35,0.34,0.87%,"161,500"
MERIT,15.28,15.30,15.48,15.20,15.26,-0.02,-0.13%,"155,000"
UCAPMDEF,1.04,1.02,1.22,1.02,1.22,0.18,17.31%,"155,000"
TELE,2.09,2.06,2.06,2.01,2.05,-0.04,-1.91%,"154,000"
GHNL,102.59,101.50,103.60,99.61,102.75,0.16,0.16%,"151,000"
HUBC,84.57,84.50,85.10,83.90,84.99,0.42,0.50%,"150,936"
NRL,202.39,202.70,203.00,199.00,200.00,-2.39,-1.18%,"147,200"
SERF,8.47,8.58,8.65,8.35,8.50,0.03,0.35%,"145,000"
GGGL,14.93,15.00,15.15,14.90,15.14,0.21,1.41%,"143,000"
INIL,162.82,160.56,162.00,159.50,161.15,-1.67,-1.03%,"141,500"
CHCC,130.09,131.00,131.77,128.50,129.00,-1.09,-0.84%,"136,500"
SPL,26.27,26.35,27.00,26.00,26.70,0.43,1.64%,"136,000"
KOIL,5.22,5.11,5.16,5.00,5.05,-0.17,-3.26%,"130,000"
MUGHAL,70.03,70.00,70.00,69.01,69.50,-0.53,-0.76%,"128,500"
TPLP,10.61,10.70,10.70,10.29,10.50,-0.11,-1.04%,"127,500"
PASL,1.12,1.13,1.15,1.10,1.13,0.01,0.89%,"126,500"
ILP,62.05,62.00,63.00,61.55,62.70,0.65,1.05%,"122,500"
GGL,16.53,16.36,16.49,16.30,16.40,-0.13,-0.79%,"122,000"
GAIL,6.90,6.90,6.96,6.80,6.80,-0.10,-1.45%,"115,500"
GTYR,74.74,74.41,75.06,74.00,74.65,-0.09,-0.12%,"115,000"
POL,433.95,435.00,438.00,434.00,436.75,2.80,0.65%,"111,819"
NETSOL,72.97,73.01,73.50,72.70,72.85,-0.12,-0.16%,"105,500"
ENGROXD,306.53,307.00,307.00,303.10,305.90,-0.63,-0.21%,"103,974"
MEBLXB,84.80,84.50,84.80,84.00,84.60,-0.20,-0.24%,"103,000"
PIOC,96.52,95.80,96.48,95.51,95.70,-0.82,-0.85%,"99,500"
SAZEW,172.38,172.05,172.90,170.10,171.94,-0.44,-0.26%,"95,500"
LUCK,661.38,660.00,661.99,655.00,660.01,-1.37,-0.21%,"95,326"
NATF,282.91,287.00,296.89,284.00,292.25,9.34,3.30%,"93,200"
BIPL,11.12,10.85,11.05,10.85,10.95,-0.17,-1.53%,"89,500"
ATRL,166.33,167.48,167.48,164.06,165.14,-1.19,-0.72%,"89,500"
TGL,94.45,94.45,94.49,93.05,93.25,-1.20,-1.27%,"86,500"
KTML,60.43,62.90,62.90,60.00,60.00,-0.43,-0.71%,"81,500"
CRTM,22.23,21.92,22.25,21.92,22.00,-0.23,-1.03%,"76,500"
